"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"aceeinut  ","P",01/07/2020 8:49,0,1,1         ,1         ,"",0.0173,<0>  ,0.027,<0>  ,"","","","",0.0142,<0>  ,"",<-2> [GDM] (CSM) ,
"aceeinut  ","P",01/07/2020 8:49,0,1,1         ,1         ,"",0.0173,<0>  ,0.027,<0>  ,"","","","",0.0142,<0>  ,"",<-2> [GDM] (CSM) ,
"aceeinut  ","P",01/07/2020 8:50,0,1,1         ,2         ,"",0.0175,<0>  ,0.029,<0>  ,"","","","",0.0188,<0>  ,11.0,<1> [GDM] (CSM) ,
"aceeinut  ","P",01/07/2020 8:50,0,1,1         ,2         ,"",0.0175,<0>  ,0.029,<0>  ,"","","","",0.0188,<0>  ,11.0,<1> [GDM] (CSM) ,
"aceeinut  ","P",02/05/2020 10:29,0,1,1         ,1         ,"",0.016,<0>  ,0.02,<0>  ,"","","","",0.0176,<0>  ,6.0,<0>  ,
"aceeinut  ","P",02/05/2020 10:29,0,1,1         ,1         ,"",0.016,<0>  ,0.02,<0>  ,"","","","",0.0176,<0>  ,6.0,<0>  ,
"aceeinut  ","P",02/05/2020 10:30,0,1,1         ,2         ,"",0.0162,<0>  ,0.016,<0>  ,"","","","",0.0185,<0>  ,5.6,<0>  ,
"aceeinut  ","P",02/05/2020 10:30,0,1,1         ,2         ,"",0.0162,<0>  ,0.016,<0>  ,"","","","",0.0185,<0>  ,5.6,<0>  ,
"aceeinut  ","P",03/18/2020 9:01,0,1,1         ,1         ,"","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"","","","","",<-2> [GDM] (CSM) ,4.2,<0>  ,
"aceeinut  ","P",03/18/2020 9:01,0,1,1         ,1         ,"","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"","","","","",<-2> [GDM] (CSM) ,4.2,<0>  ,
"aceeinut  ","P",03/18/2020 9:02,0,1,1         ,2         ,"","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"","","","","",<-2> [GDM] (CSM) ,3.9,<0>  ,
"aceeinut  ","P",03/18/2020 9:02,0,1,1         ,2         ,"","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"","","","","",<-2> [GDM] (CSM) ,3.9,<0>  ,
"aceeinut  ","P",06/02/2020 10:30,0,1,1         ,1         ,"",0.0178,<1> [GSM] (CHB) ,0.009,<1> [GSM] (CHB) ,"","","","",0.0141,<1> [GSM] (CHB) ,13.2,<0>  ,
"aceeinut  ","P",06/02/2020 10:30,0,1,1         ,1         ,"",0.0178,<1> [GSM] (CHB) ,0.009,<1> [GSM] (CHB) ,"","","","",0.0141,<1> [GSM] (CHB) ,13.2,<0>  ,
"aceeinut  ","P",06/02/2020 10:32,0,1,1         ,2         ,"",0.0195,<1> [GSM] (CHB) ,0.009,<1> [GSM] (CHB) ,"","","","",0.0125,<1> [GSM] (CHB) ,13.0,<0>  ,
"aceeinut  ","P",06/02/2020 10:32,0,1,1         ,2         ,"",0.0195,<1> [GSM] (CHB) ,0.009,<1> [GSM] (CHB) ,"","","","",0.0125,<1> [GSM] (CHB) ,13.0,<0>  ,
"aceeinut  ","P",07/01/2020 9:50,0,1,1         ,1         ,"",0.0233,<0>  ,0.014,<0>  ,"","","","",0.0116,<1> [SRD] (CHB) ,13.4,<0>  ,
"aceeinut  ","P",07/01/2020 9:50,0,1,1         ,1         ,"",0.0233,<0>  ,0.014,<0>  ,"","","","",0.0116,<1> [SRD] (CHB) ,13.4,<0>  ,
"aceeinut  ","P",07/01/2020 9:51,0,1,1         ,2         ,"",0.0236,<0>  ,0.013,<0>  ,"","","","",0.0444,<1> [SRD] (CHB) ,12.8,<0>  ,
"aceeinut  ","P",07/01/2020 9:51,0,1,1         ,2         ,"",0.0236,<0>  ,0.013,<0>  ,"","","","",0.0444,<1> [SRD] (CHB) ,12.8,<0>  ,
"aceeinut  ","P",08/27/2020 8:40,0,1,1         ,1         ,"",0.0274,<0>  ,0.049,<0>  ,"","","","",0.0935,<1> [SRD] (CSM) ,7.3,<0>  ,
"aceeinut  ","P",08/27/2020 8:40,0,1,1         ,1         ,"",0.0274,<0>  ,0.049,<0>  ,"","","","",0.0935,<1> [SRD] (CSM) ,7.3,<0>  ,
