"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"acefcnut  ","P",01/12/2021 12:27,0,1,1         ,1         ,"",0.0256,<0>  ,0.016,<0>  ,"","","","",0.0104,<0>  ,5.1,<0>  ,
"acefcnut  ","P",01/12/2021 12:28,0,1,1         ,2         ,"",0.0259,<0>  ,0.015,<0>  ,"","","","",0.0093,<0>  ,5.1,<0>  ,
"acefcnut  ","P",02/09/2021 11:57,0,1,1         ,1         ,"","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"","","","","",<-2> [GDM] (CSM) ,7.2,<0>  ,
"acefcnut  ","P",02/09/2021 11:58,0,1,1         ,2         ,"","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"","","","","",<-2> [GDM] (CSM) ,6.9,<0>  ,
"acefcnut  ","P",03/24/2021 9:57,0,1,1         ,1         ,"",0.027,<0>  ,0.024,<0>  ,"","","","",0.0214,<0>  ,6.5,<0>  ,
"acefcnut  ","P",03/24/2021 9:58,0,1,1         ,2         ,"",0.0263,<0>  ,0.023,<0>  ,"","","","",0.0221,<0>  ,8.0,<0>  ,
"acefcnut  ","P",04/06/2021 9:41,0,1,1         ,1         ,"",0.065,<0>  ,0.039,<0>  ,"","","","",0.0444,<0>  ,21.9,<0>  ,
"acefcnut  ","P",04/06/2021 9:42,0,1,1         ,2         ,"",0.0678,<0>  ,0.04,<0>  ,"","","","",0.0448,<0>  ,24.6,<0>  ,
"acefcnut  ","P",05/05/2021 9:06,0,1,1         ,1         ,"",0.0566,<0>  ,0.102,<0>  ,"","","","",0.0569,<0>  ,21.5,<0>  ,
"acefcnut  ","P",05/05/2021 9:07,0,1,1         ,2         ,"",0.0557,<0>  ,0.097,<0>  ,"","","","",0.0529,<0>  ,21.8,<0>  ,
"acefcnut  ","P",06/07/2021 12:14,0,1,1         ,2         ,"",0.0723,<0>  ,0.11,<0>  ,"","","","",0.0643,<0>  ,29.7,<0>  ,
"acefcnut  ","P",06/07/2021 12:14,0,1,1         ,1         ,"",0.0829,<0>  ,0.125,<0>  ,"","","","",0.0594,<0>  ,26.1,<0>  ,
"acefcnut  ","P",07/06/2021 10:43,0,1,1         ,1         ,"",0.0812,<0>  ,0.066,<0>  ,"","","","",0.0481,<0>  ,17.9,<0>  ,
"acefcnut  ","P",07/06/2021 10:44,0,1,1         ,2         ,"",0.0824,<0>  ,0.062,<0>  ,"","","","",0.0487,<0>  ,8.3,<0>  ,
"acefcnut  ","P",08/03/2021 9:17,0,1,1         ,1         ,"",0.174,<0>  ,0.128,<0>  ,"","","","",0.0724,<0>  ,11.0,<0>  ,
"acefcnut  ","P",08/03/2021 9:18,0,1,1         ,2         ,"",0.1637,<0>  ,0.125,<0>  ,"","","","",0.0619,<0>  ,10.8,<0>  ,
"acefcnut  ","P",09/02/2021 9:35,0,1,1         ,1         ,"",0.1406,<0>  ,0.118,<0>  ,"","","","",0.0524,<0>  ,14.4,<0>  ,
"acefcnut  ","P",09/02/2021 9:36,0,1,1         ,2         ,"",0.138,<0>  ,0.112,<0>  ,"","","","",0.0469,<0>  ,14.6,<0>  ,
"acefcnut  ","P",10/14/2021 8:07,0,1,1         ,1         ,"",0.0803,<1> [SRD] (CSM) ,0.043,<0>  ,"","","","",0.0417,<0>  ,7.6,<0>  ,
"acefcnut  ","P",10/14/2021 8:08,0,1,1         ,2         ,"",0.0464,<1> [SRD] (CSM) ,0.043,<0>  ,"","","","",0.0437,<0>  ,8.4,<0>  ,
"acefcnut  ","P",11/01/2021 11:04,0,1,1         ,1         ,"",0.0573,<0>  ,0.056,<0>  ,"","","","",0.0416,<0>  ,9.7,<0>  ,
"acefcnut  ","P",11/01/2021 11:05,0,1,1         ,2         ,"",0.0589,<0>  ,0.054,<0>  ,"","","","",0.0418,<0>  ,10.4,<0>  ,
"acefcnut  ","P",12/01/2021 10:50,0,1,1         ,1         ,"",0.0615,<0>  ,0.024,<0>  ,"","","","",0.032,<0>  ,8.9,<0>  ,
"acefcnut  ","P",12/01/2021 10:51,0,1,1         ,2         ,"",0.0604,<0>  ,0.024,<0>  ,"","","","",0.0331,<0>  ,9.2,<0>  ,

