"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"acemcnut  ","P",01/07/2020 10:58,0,1,1         ,1         ,"",0.0498,<0>  ,0.054,<0>  ,"","","","",0.0209,<0>  ,18.4,<0>  ,
"acemcnut  ","P",01/07/2020 10:59,0,1,1         ,2         ,"",0.0493,<0>  ,0.055,<0>  ,"","","","",0.0203,<0>  ,19.0,<0>  ,
"acemcnut  ","P",02/05/2020 9:00,0,1,1         ,1         ,"",0.0433,<0>  ,0.038,<0>  ,"","","","",0.0293,<0>  ,10.6,<0>  ,
"acemcnut  ","P",02/05/2020 9:01,0,1,1         ,2         ,"",0.0438,<0>  ,0.033,<0>  ,"","","","",0.0453,<0>  ,11.2,<0>  ,
"acemcnut  ","P",03/18/2020 8:46,0,1,1         ,1         ,"","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"","","","","",<-2> [GDM] (CSM) ,4.7,<0>  ,
"acemcnut  ","P",03/18/2020 8:47,0,1,1         ,2         ,"","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"","","","","",<-2> [GDM] (CSM) ,4.5,<0>  ,
"acemcnut  ","P",06/02/2020 9:21,0,1,1         ,1         ,"",0.0305,<1> [GSM] (CHB) ,0.033,<1> [GSM] (CHB) ,"","","","",0.0468,<1> [GSM] (CHB) ,11.8,<0>  ,
"acemcnut  ","P",06/02/2020 9:22,0,1,1         ,2         ,"",0.0315,<1> [GSM] (CHB) ,0.029,<1> [GSM] (CHB) ,"","","","",0.0337,<1> [GSM] (CHB) ,11.4,<0>  ,
"acemcnut  ","P",07/01/2020 8:37,0,1,1         ,1         ,"",0.0435,<0>  ,0.019,<0>  ,"","","","",0.0448,<1> [GSM] (CHB) ,8.6,<0>  ,
"acemcnut  ","P",07/01/2020 8:38,0,1,1         ,2         ,"",0.0428,<0>  ,0.02,<0>  ,"","","","",0.0453,<1> [GSM] (CHB) ,10.4,<0>  ,
"acemcnut  ","P",08/27/2020 7:25,0,1,1         ,1         ,"",0.0663,<0>  ,0.009,<0>  ,"","","","",0.112,<0>  ,14.7,<0>  ,
"acemcnut  ","P",08/27/2020 7:26,0,1,1         ,2         ,"",0.0687,<0>  ,0.009,<0>  ,"","","","",0.117,<0>  ,14.9,<0>  ,
"acemcnut  ","P",09/30/2020 11:11,0,1,1         ,1         ,"",0.0539,<0>  ,0.018,<0>  ,"","","","",0.073,<0>  ,4.0,<0>  ,
"acemcnut  ","P",09/30/2020 11:12,0,1,1         ,2         ,"",0.0488,<0>  ,0.02,<0>  ,"","","","",0.0656,<0>  ,4.0,<0>  ,
"acemcnut  ","P",10/13/2020 9:01,0,1,1         ,1         ,"",0.064,<0>  ,0.045,<0>  ,"","","","",0.0415,<0>  ,3.5,<0>  ,
"acemcnut  ","P",10/13/2020 9:02,0,1,1         ,2         ,"",0.0677,<0>  ,0.049,<0>  ,"","","","",0.0427,<0>  ,3.3,<0>  ,
"acemcnut  ","P",11/13/2020 11:01,0,1,1         ,1         ,"",0.0466,<0>  ,0.023,<0>  ,"","","","",0.0554,<0>  ,5.9,<0>  ,
"acemcnut  ","P",11/13/2020 11:02,0,1,1         ,2         ,"",0.045,<0>  ,0.026,<0>  ,"","","","",0.0557,<0>  ,6.0,<0>  ,
"acemcnut  ","P",12/10/2020 8:16,0,1,1         ,1         ,"",0.055,<0>  ,0.042,<0>  ,"","","","",0.0396,<0>  ,3.8,<0>  ,
"acemcnut  ","P",12/10/2020 8:17,0,1,1         ,2         ,"",0.0555,<0>  ,0.043,<0>  ,"","","","",0.0397,<0>  ,3.7,<0>  ,

