"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"sapdcnut  ","P",01/21/2016 9:29,1,1,1         ,1         ,"{CSM}",0.026,<-3> [GQD] ,0.5,<-3> [GQD] ,0.02,<-3> [GQD] ,"",<-3> [GCR] ,5.0,<-3> [GQD] ,2.95,<0>  ,
"sapdcnut  ","P",01/21/2016 9:29,1,1,1         ,"S         ","{CSM}","",<-2>  ,"",<-2>  ,"",<-2>  ,"",<-2> [GCM] ,"",<-2>  ,1.72,<0>  ,
"sapdcnut  ","P",01/21/2016 9:32,1,1,1         ,2         ,"{CSM}",0.026,<-3> [GQD] ,0.5,<-3> [GQD] ,0.02,<-3> [GQD] ,"",<-3> [GCR] ,5.0,<-3> [GQD] ,2.31,<0>  ,
"sapdcnut  ","P",01/21/2016 9:32,1,1,1         ,"S         ","{CSM}","",<-2>  ,"",<-2>  ,"",<-2>  ,"",<-2> [GCM] ,"",<-2>  ,4.36,<0>  ,
"sapdcnut  ","P",02/18/2016 10:28,1,1,1         ,1         ,"{CSM}",0.079,<-3> [GQD] ,0.5,<-3> [GQD] ,0.02,<-3> [GQD] ,"",<-3> [GCR] ,5.0,<-3> [GQD] ,4.47,<0>  ,
"sapdcnut  ","P",02/18/2016 10:28,1,1,1         ,"S         ","{CSM}","",<-2>  ,"",<-2>  ,"",<-2>  ,"",<-2> [GCM] ,"",<-2>  ,2.88,<0>  ,
"sapdcnut  ","P",02/18/2016 10:30,1,1,1         ,2         ,"{CSM}",0.105,<-3> [GQD] ,1.38,<-3> [GQD] ,0.02,<-3> [GQD] ,"",<-3> [GCR] ,5.0,<-3> [GQD] ,4.42,<0>  ,
"sapdcnut  ","P",02/18/2016 10:30,1,1,1         ,"S         ","{CSM}","",<-2>  ,"",<-2>  ,"",<-2>  ,"",<-2> [GCM] ,"",<-2>  ,2.7,<0>  ,
"sapdcnut  ","P",03/17/2016 10:56,1,1,1         ,1         ,"",0.211,<1> (CHB) ,0.281,<1> (CHB) ,0.02,<-4> [SBL] (CHB) ,"",<-4> [SCB] (CHB) ,0.02,<-4> [SBL] (CHB) ,8.35,<0>  ,
"sapdcnut  ","P",03/17/2016 10:56,1,1,1         ,"S         ","",0.221,<1> (CHB) ,0.275,<1> (CHB) ,0.02,<-4> [SBL] (CHB) ,"",<-4> [SCB] (CHB) ,0.0211,<1> (CHB) ,8.1,<0>  ,
"sapdcnut  ","P",03/17/2016 10:58,1,1,1         ,2         ,"",0.205,<1> (CHB) ,0.253,<1> (CHB) ,0.02,<-4> [SBL] (CHB) ,"",<-4> [SCB] (CHB) ,0.0202,<1> (CHB) ,5.87,<0>  ,
"sapdcnut  ","P",03/17/2016 10:58,1,1,1         ,"S         ","",0.2,<1> (CHB) ,0.253,<1> (CHB) ,0.02,<-4> [SBL] (CHB) ,"",<-4> [SCB] (CHB) ,0.0207,<1> (CHB) ,6.46,<0>  ,
"sapdcnut  ","P",04/14/2016 9:29,1,1,1         ,1         ,"",0.0020,<-4> [SBL] (CHB) ,0.0625,<1> (CHB) ,0.02,<-4> [SBL] (CHB) ,"",<-4> [SCB] (CHB) ,0.02,<-4> [SBL] (CHB) ,4.42,<1> (CHB) ,
"sapdcnut  ","P",04/14/2016 9:29,1,1,1         ,"S         ","",0.0020,<-4> [SBL] (CHB) ,0.0639,<1> (CHB) ,0.02,<-4> [SBL] (CHB) ,"",<-4> [SCB] (CHB) ,0.02,<-4> [SBL] (CHB) ,5.28,<1> (CHB) ,
