"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"saphdnut  ","P",01/21/2016 10:14,1,1,1         ,1         ,"{CSM}",0.02,<-3> [GQD] ,0.5,<-3> [GQD] ,0.034,<-3> [GQD] ,"",<-3> [GCR] ,5.0,<-3> [GQD] ,2.87,<0>  ,
"saphdnut  ","P",01/21/2016 10:14,1,1,1         ,"S         ","{CSM}","",<-2>  ,"",<-2>  ,"",<-2>  ,"",<-2> [GCM] ,"",<-2>  ,3.4,<0>  ,
"saphdnut  ","P",01/21/2016 10:17,1,1,1         ,2         ,"{CSM}",0.02,<-3> [GQD] ,0.5,<-3> [GQD] ,0.028,<-3> [GQD] ,"",<-3> [GCR] ,5.0,<-3> [GQD] ,3.07,<0>  ,
"saphdnut  ","P",01/21/2016 10:17,1,1,1         ,"S         ","{CSM}","",<-2>  ,"",<-2>  ,"",<-2>  ,"",<-2> [GCM] ,"",<-2>  ,3.99,<0>  ,
"saphdnut  ","P",02/18/2016 9:50,1,1,1         ,1         ,"{CSM}",0.02,<-3> [GQD] ,0.5,<-3> [GQD] ,0.02,<-3> [GQD] ,"",<-3> [GCR] ,5.0,<-3> [GQD] ,4.74,<0>  ,
"saphdnut  ","P",02/18/2016 9:50,1,1,1         ,"S         ","{CSM}","",<-2>  ,"",<-2>  ,"",<-2>  ,"",<-2> [GCM] ,"",<-2>  ,6.15,<0>  ,
"saphdnut  ","P",02/18/2016 9:55,1,1,1         ,2         ,"{CSM}",0.02,<-3> [GQD] ,0.5,<-3> [GQD] ,0.02,<-3> [GQD] ,"",<-3> [GCR] ,5.0,<-3> [GQD] ,6.92,<0>  ,
"saphdnut  ","P",02/18/2016 9:55,1,1,1         ,"S         ","{CSM}","",<-2>  ,"",<-2>  ,"",<-2>  ,"",<-2> [GCM] ,"",<-2>  ,7.3,<0>  ,
"saphdnut  ","P",03/17/2016 10:01,1,1,1         ,1         ,"",0.0020,<-4> [SBL] (CHB) ,0.0462,<1> (CHB) ,0.02,<-4> [SBL] (CHB) ,"",<-4> [SCB] (CHB) ,0.02,<-4> [SBL] (CHB) ,6.51,<0>  ,
"saphdnut  ","P",03/17/2016 10:01,1,1,1         ,"S         ","",0.0020,<-4> [SBL] (CHB) ,0.0459,<1> (CHB) ,0.02,<-4> [SBL] (CHB) ,"",<-4> [SCB] (CHB) ,0.02,<-4> [SBL] (CHB) ,7.0,<0>  ,
"saphdnut  ","P",03/17/2016 10:05,1,1,1         ,2         ,"",0.0020,<-4> [SBL] (CHB) ,0.0649,<1> (CHB) ,0.02,<-4> [SBL] (CHB) ,"",<-4> [SCB] (CHB) ,0.02,<-4> [SBL] (CHB) ,7.37,<0>  ,
"saphdnut  ","P",03/17/2016 10:05,1,1,1         ,"S         ","",0.0020,<-4> [SBL] (CHB) ,0.0714,<1> (CHB) ,0.02,<-4> [SBL] (CHB) ,"",<-4> [SCB] (CHB) ,0.02,<-4> [SBL] (CHB) ,4.42,<0>  ,
"saphdnut  ","P",04/14/2016 10:01,1,1,1         ,1         ,"",0.0020,<-4> [SBL] (CHB) ,0.082,<1> (CHB) ,0.02,<-4> [SBL] (CHB) ,"",<-4> [SCB] (CHB) ,0.0222,<1> (CHB) ,4.82,<1> (CHB) ,
"saphdnut  ","P",04/14/2016 10:01,1,1,1         ,"S         ","",0.0020,<-4> [SBL] (CHB) ,0.0795,<1> (CHB) ,0.02,<-4> [SBL] (CHB) ,"",<-4> [SCB] (CHB) ,0.02,<-4> [SBL] (CHB) ,5.76,<1> (CHB) ,
"saphdnut  ","P",04/14/2016 10:05,1,1,1         ,2         ,"",0.0066,<1> (CHB) ,0.0402,<1> (CHB) ,0.02,<-4> [SBL] (CHB) ,"",<-4> [SCB] (CHB) ,0.02,<-4> [SBL] (CHB) ,5.51,<1> (CHB) ,
"saphdnut  ","P",04/14/2016 10:05,1,1,1         ,"S         ","",0.0063,<1> (CHB) ,0.0384,<1> (CHB) ,0.02,<-4> [SBL] (CHB) ,"",<-4> [SCB] (CHB) ,0.02,<-4> [SBL] (CHB) ,4.61,<1> (CHB) ,
"saphdnut  ","P",05/26/2016 10:15,1,1,1         ,1         ,"",0.0265,<1> (CHB) ,0.01,<-4> [SBL] (CHB) ,0.02,<-4> [SBL] (CHB) ,"",<-4> [SCB] (CHB) ,0.02,<-4> [SBL] (CHB) ,6.92,<0>  ,
"saphdnut  ","P",05/26/2016 10:15,1,1,1         ,"S         ","",0.0282,<1> (CHB) ,0.01,<-4> [SBL] (CHB) ,0.02,<-4> [SBL] (CHB) ,"",<-4> [SCB] (CHB) ,0.02,<-4> [SBL] (CHB) ,8.71,<0>  ,
"saphdnut  ","P",05/26/2016 10:17,1,1,1         ,2         ,"",0.022,<1> (CHB) ,0.01,<-4> [SBL] (CHB) ,0.02,<-4> [SBL] (CHB) ,"",<-4> [SCB] (CHB) ,0.02,<-4> [SBL] (CHB) ,3.34,<0>  ,
"saphdnut  ","P",05/26/2016 10:17,1,1,1         ,"S         ","",0.0212,<1> (CHB) ,0.01,<-4> [SBL] (CHB) ,0.02,<-4> [SBL] (CHB) ,"",<-4> [SCB] (CHB) ,0.02,<-4> [SBL] (CHB) ,8.14,<0>  ,
"saphdnut  ","P",06/30/2016 10:07,1,1,1         ,1         ,"",0.0598,<1> (CHB) ,0.01,<-4> [SBL] (CHB) ,0.02,<-4> [SBL] (CHB) ,"",<-4> [SCB] (CHB) ,0.0493,<1> (CHB) ,12.69,<0>  ,
"saphdnut  ","P",06/30/2016 10:07,1,1,1         ,"S         ","",0.0612,<1> (CHB) ,0.01,<-4> [SBL] (CHB) ,0.02,<-4> [SBL] (CHB) ,"",<-4> [SCB] (CHB) ,0.0205,<1> (CHB) ,15.39,<0>  ,
"saphdnut  ","P",06/30/2016 10:09,1,1,1         ,2         ,"",0.0551,<1> (CHB) ,0.01,<-4> [SBL] (CHB) ,0.02,<-4> [SBL] (CHB) ,"",<-4> [SCB] (CHB) ,0.02,<-4> [SBL] (CHB) ,13.46,<0>  ,
"saphdnut  ","P",06/30/2016 10:09,1,1,1         ,"S         ","",0.055,<1> (CHB) ,0.01,<-4> [SBL] (CHB) ,0.02,<-4> [SBL] (CHB) ,"",<-4> [SCB] (CHB) ,0.0361,<1> (CHB) ,13.14,<0>  ,
